response_date,student_id,school_name,service_evaluated,qualification_service,reason
6/30/2023,S-41277,Maple Leaf School,extracurricular activities,6,"There are clubs, yet it’s hard to find people to join; maybe advertise more."
11/12/2023,S-51261,Sunrise Institute,personal motivation,8,Encouragement from counselors helps me stay focused and set small goals.
1/19/2024,S-61342,Lakeside College,school climate,7,"Overall, it’s welcoming, but there’s occasional tension between grade levels."
2/25/2024,S-72450,Pine Valley School,communication with school,9,Emails are timely and the app updates keep me in the loop with announcements.
4/3/2024,S-83911,Cedar Grove School,academic quality,5,"Lectures are okay, but the homework load is a bit overwhelming sometimes."
5/20/2024,S-95072,Silver Oak School,professor teachings,10,Professor Rivera makes every topic feel interesting and accessible.
7/18/2024,S-10133,Blue Horizon School,sports facilities,8,"The gym equipment is modern and the gym is clean, though the track could be longer."
8/12/2024,S-11248,Greenwood High School,extracurricular activities,7,"I joined a robotics club, and I wish there were more beginner-friendly workshops."
9/5/2024,S-22356,Riverside Academy,personal motivation,6,"Some days motivation runs low, but friends keep me going and I keep pushing."
10/21/2024,S-33472,Hillcrest School,school climate,6,"There’s respect between students and staff, though a few loud rooms still throw off focus."
11/30/2024,S-44519,Maple Leaf School,communication with school,8, Reminder messages and meeting invites help families plan ahead.
1/14/2025,S-55687,Sunrise Institute,academic quality,7," Tests feel fair, though some topics could use extra practice problems."
2/28/2025,S-66723,Lakeside College,professor teachings,9, The professor’s explanations click after a few examples; I finally get the pattern.
3/7/2025,S-77819,Pine Valley School,sports facilities,9," The new gym is cool, but the pool schedule makes early mornings tough."
4/16/2025,S-88946,Cedar Grove School,extracurricular activities,5,Clubs exist but not very active; need more leadership roles.
5/23/2025,S-99031,Silver Oak School,personal motivation,8," Friends push me, and mentor sessions really help me stay on track."
2/14/2023,S-00001,Greenwood High School,academic quality,8," The coursework is solid and paced well, though some modules could use more real-world examples."
3/22/2023,S-00002,Riverside Academy,professor teachings,9," Professors usually explain things clearly, but a couple lectures were dry and missed key details."
4/10/2023,S-00003,Hillcrest School,sports facilities,7," Facilities are fine, gym has good gear, but courts get crowded after lunch."
5/18/2023,S-00004,Maple Leaf School,extracurricular activities,6,"There are clubs worth joining, but more late-evening options for working students would help a lot."
6/25/2023,S-00005,Sunrise Institute,personal motivation,7,"Motivation boosts vary—some days you feel driven, other days you’re just cruising."
7/11/2023,S-00006,Lakeside College,school climate,8,"The vibe is generally positive, though a few hallways feel tense during exam week."
8/2/2023,S-00007,Pine Valley School,communication with school,9,"Emails and notices come through reliably; when issues arise, responses are timely and helpful."
9/19/2023,S-00008,Cedar Grove School,academic quality,8,"The curriculum is strong and sticks to college expectations, but more hands-on labs would be nice."
11/5/2023,S-00009,Silver Oak School,professor teachings,6,"Some teachers are inspiring, others just rush through slides and skip details."
12/12/2023,S-00010,Blue Horizon School,sports facilities,8,Facilities are modern and well kept; more open fields on weekends would be great.
1/29/2024,S-00011,Greenwood High School,extracurricular activities,7,"Club options are solid, but the sign-up process can be confusing and slow."
2/16/2024,S-00012,Riverside Academy,personal motivation,8,"I feel encouraged here, yet motivation dips when deadlines pile up."
3/23/2024,S-00013,Hillcrest School,school climate,7,"Overall supportive environment, though a few groups feel left out during events."
4/15/2024,S-00014,Maple Leaf School,communication with school,6,Messages sometimes get buried in threads; clarity could be better for major updates.
5/7/2024,S-00015,Sunrise Institute,academic quality,9,Course content is great and feedback from instructors is usually helpful.
6/18/2024,S-00016,Lakeside College,professor teachings,5,"Some professors engage well, others seem a bit detached from what we’re studying."
7/21/2024,S-00017,Pine Valley School,sports facilities,7,"Track and gym are good, but equipment wears out fast during busy seasons."
8/30/2024,S-00018,Cedar Grove School,extracurricular activities,8,"Nice mix of activities, still hoping for more student-led projects."
9/14/2024,S-00019,Silver Oak School,personal motivation,7,Making it through the term is easier when there are small wins to celebrate.
10/28/2024,S-00020,Blue Horizon School,communication with school,8,"Communication is pretty clear most days, but a few important alerts slipped through recently."
3/14/2023,S-10458,Greenwood High School,academic quality,8,"Overall solid courses, though a few topics felt rushed and could use more depth."
4/2/2023,S-20511,Riverside Academy,professor teachings,9,Professors explained concepts clearly most days; some have a dry style that can make focus tricky.
5/20/2023,S-07824,Hillcrest School,sports facilities,6,"Facilities are fine, but gym gear is often crowded and courts could use updates."
1/11/2024,S-93012,Maple Leaf School,extracurricular activities,7,"There are clubs I like, but the options aren’t huge and not every interest is covered."
2/15/2024,S-51230,Sunrise Institute,personal motivation,8,"Counselors and mentors push me to do better, though the goals sometimes feel a bit generic."
3/29/2024,S-21103,Lakeside College,school climate,9,"I feel supported here, staff are approachable and respectful, vibes are positive."
4/12/2024,S-41004,Pine Valley School,communication with school,7,Messages from admin reach me but responses can be slow and a bit confusing.
5/21/2024,S-76612,Cedar Grove School,academic quality,5,"Some classes are tough, but the curriculum could use practical examples to connect theory."
6/3/2024,S-88301,Silver Oak School,professor teachings,8,"Teachers know their stuff, a few rely on slides that glare and strain my eyes."
1/8/2025,S-99123,Blue Horizon School,sports facilities,9,"Field work and gym upkeep are solid, love the outdoor spaces, feels safe to play."
2/19/2025,S-01498,Greenwood High School,extracurricular activities,6,Clubs exist but clashes with classes; more after-school options would help.
3/4/2025,S-33451,Riverside Academy,personal motivation,7,Teachers motivate me but motivation fades during long projects.
4/18/2025,S-26780,Hillcrest School,school climate,8,"Friendly environment, peers encourage each other, though the rumor mill can drag things down."
5/7/2025,S-54912,Maple Leaf School,communication with school,6,"Emails get ignored sometimes, phone line is busy, need a better notification system."
6/22/2025,S-70215,Sunrise Institute,academic quality,7,"Some courses are great, others could use a better real-world connection to careers."
11/9/2023,S-87322,Lakeside College,professor teachings,4,"Instructors often rush through material and leave me confused, needs more clarity."
12/1/2023,S-64120,Pine Valley School,extracurricular activities,8,"Plenty of clubs, but the funding for new ideas is limited."
12/18/2023,S-11876,Cedar Grove School,personal motivation,6,I try hard but sometimes the school's support feels generic and not tailored to me.
2/28/2024,S-90456,Silver Oak School,school climate,7,"Mostly good, but a few outlets for student voices are missing."
4/9/2024,S-34678,Blue Horizon School,communication with school,9,"Fantastic updates and quick responses, really helps plan my week."
2/14/2023,S-00001,Greenwood High School,academic quality,8,"Overall solid curriculum, but sometimes lectures feel rushed and not enough real-world examples."
3/3/2023,S-00002,Riverside Academy,professor teachings,9,"Professors know their stuff, explains tricky topics clearly most days, a few still rely on slides."
4/22/2023,S-00003,Hillcrest School,sports facilities,6,Facilities are decent but the gym equipment is a bit dated and the courts can be busy.
5/19/2023,S-00004,Maple Leaf School,extracurricular activities,7,"There are clubs I like, though some new ones still finding footing and schedules clash with classes."
6/11/2023,S-00005,Sunrise Institute,personal motivation,8,Peers and teachers’ support helps a lot; a few mentors don’t connect with everyone.
7/7/2023,S-00006,Lakeside College,school climate,7,"Overall the vibe is positive, though mornings feel a bit tense before first period."
8/2/2023,S-00007,Pine Valley School,communication with school,8,"I get the messages, but important notices can arrive late, especially during exams."
9/9/2023,S-00008,Cedar Grove School,academic quality,9,"Tough courses with helpful feedback keep me focused, though some topics zoom by."
10/15/2023,S-00009,Silver Oak School,professor teachings,6,"Explanations are decent, but a couple instructors speak softly and lose the room’s attention."
11/1/2023,S-00010,Blue Horizon School,sports facilities,5,The sports area could be better maintained; fields get muddy after rain and nets are frayed.
1/17/2024,S-00011,Greenwood High School,extracurricular activities,8,"There are awesome clubs, but signup windows sometimes feel too short."
2/20/2024,S-00012,Riverside Academy,personal motivation,7,"Inspiring talks from seniors push me, but I drift during long study halls."
3/25/2024,S-00013,Hillcrest School,school climate,6,The school feels friendly overall; a few incidents left some students uneasy.
4/9/2024,S-00014,Maple Leaf School,communication with school,9,Clear updates and a responsive admin team; they actually listen when concerns are raised.
5/30/2024,S-00015,Sunrise Institute,academic quality,7,"Courses are solid, but some grading feels inconsistent across sections."
6/14/2024,S-00016,Lakeside College,professor teachings,8,"Teachers use real-world examples and encourage questions, a few could be more patient."
7/7/2024,S-00017,Pine Valley School,sports facilities,9,Field quality is great; gym gear is modern and programs are well organized.
8/19/2024,S-00018,Cedar Grove School,extracurricular activities,6,"Some clubs are awesome, others just ok and leadership can be flaky."
9/5/2024,S-00019,Silver Oak School,personal motivation,8,"Mentors really keep me focused, though more study groups would help."
10/11/2024,S-00020,Blue Horizon School,communication with school,7,"Not bad, but important alerts get lost in the group chat chatter."
3/12/2023,S-01234,Greenwood High School,academic quality,8,"Overall the coursework is solid, though a few topics move quickly."
4/7/2023,S-04567,Riverside Academy,professor teachings,9,"Teacher explained things clearly most days, but a few lectures felt rushed."
5/21/2023,S-08912,Hillcrest School,sports facilities,6,"The gym's decent, but equipment is often scarce after practice."
6/2/2023,S-10345,Maple Leaf School,extracurricular activities,7,"There are clubs I like, but a couple are hard to join because of timing."
7/15/2023,S-14678,Sunrise Institute,personal motivation,8,"Motivation classes helped lately, still hoping for more one-on-one coaching."
8/28/2023,S-17890,Lakeside College,school climate,7,"The vibe is mostly upbeat, though some days feel a bit stiff."
9/11/2023,S-20345,Pine Valley School,communication with school,5," emails take a while to answer, which is frustrating sometimes."
10/4/2023,S-22456,Cedar Grove School,academic quality,9,The curriculum is challenging but I like the tough topics.
11/19/2023,S-24567,Silver Oak School,professor teachings,6,"Teachers are friendly, but following along without notes can be tricky."
12/22/2023,S-26789,Blue Horizon School,sports facilities,8,"Facilities are great, but it would help if maintenance updates were posted more."
1/5/2024,S-28901,Greenwood High School,extracurricular activities,7,"There are some cool clubs, though a few demand a lot of time."
2/14/2024,S-30123,Riverside Academy,personal motivation,6,"I appreciate the focus on growth, but I’d love more real-world examples."
3/9/2024,S-32345,Hillcrest School,school climate,8,The vibe here feels supportive and staff seem genuinely invested.
4/22/2024,S-34567,Maple Leaf School,communication with school,7,"Feedback channels mostly work, though quicker responses would be nice."
5/17/2024,S-36789,Sunrise Institute,academic quality,8,"Course materials are solid, yet certain topics could use clearer examples."
6/10/2024,S-38901,Lakeside College,professor teachings,9,"Lectures are engaging, and the professor explains tough ideas clearly."
7/3/2024,S-40123,Pine Valley School,sports facilities,5,"Facilities are decent, but the gym gets crowded sometimes."
8/16/2024,S-42345,Cedar Grove School,extracurricular activities,6,"Clubs are varied, though some days clash with classes."
9/5/2024,S-44567,Silver Oak School,personal motivation,7,"I like the focus on self-improvement, though consistency is still a struggle."
10/21/2024,S-46789,Blue Horizon School,communication with school,6,"Sometimes messages get buried in the system, which causes confusion."
11/12/2024,S-48901,Greenwood High School,academic quality,7,"Overall solid, but grading can feel inconsistent across teachers."
2/2/2025,S-50123,Riverside Academy,professor teachings,8,"Good explanations and passion, but more practice problems would help."
3/12/2023,S-10423,Greenwood High School,academic quality,8,"Coursework was solid, but pacing felt off for a few topics."
4/2/2023,S-48321,Riverside Academy,professor teachings,9,"Professor explains things clearly most days, but a few lectures lacked real-world examples."
5/18/2023,S-91011,Hillcrest School,sports facilities,6,"Facilities are decent, but the gym equipment needs updating and the courts are sometimes crowded."
7/22/2023,S-55231,Maple Leaf School,extracurricular activities,7,"There are clubs, yet schedules clash with exams, making it hard to join consistently."
8/5/2023,S-70241,Sunrise Institute,personal motivation,5,"I felt a bit lost at times, and the support portal didn’t help me stay on track."
9/15/2023,S-14932,Lakeside College,school climate,7,"Overall vibes are pretty good, though some teachers seem overwhelmed during busy weeks."
10/28/2023,S-23876,Pine Valley School,communication with school,8,"The office gets messages, but replies can be slow and sometimes items get buried."
11/11/2023,S-38564,Cedar Grove School,academic quality,9,"The coursework feels challenging and meaningful, but a few electives could use an update."
12/4/2023,S-92123,Silver Oak School,professor teachings,6,A few lectures were a bit dry; the slides-only approach wore thin.
1/19/2024,S-66712,Blue Horizon School,sports facilities,7," Access to field is handy, though the indoor track smells odd when it rains."
2/28/2024,S-43126,Greenwood High School,extracurricular activities,8,Clubs are awesome and people are friendly; would love more beginner-friendly options.
3/17/2024,S-51238,Riverside Academy,personal motivation,4,Motivation support was thin during winter projects; a few pep talks helped.
4/9/2024,S-73456,Hillcrest School,school climate,6,"The environment is fine overall, but hallway noise can be noticeable."
5/23/2024,S-21099,Maple Leaf School,communication with school,9,"Updates about changes are great, responses are quick, staff is really helpful."
6/10/2024,S-80983,Sunrise Institute,academic quality,7,Course content is solid; some assignments feel a bit repetitive.
7/14/2024,S-31670,Lakeside College,professor teachings,8,Lecturers are engaging most of the time; a couple could benefit from more office hours.
8/25/2024,S-57840,Pine Valley School,sports facilities,5,"Gym gear is a bit tired, the gym's fine but doesn’t feel motivating."
9/2/2024,S-19775,Cedar Grove School,extracurricular activities,6,More clubs would be great; some groups have long waits.
10/19/2024,S-84561,Silver Oak School,personal motivation,7,"I gained some momentum after talking to a counselor, but it took a while."
11/7/2024,S-62314,Blue Horizon School,communication with school,6,Deadlines slip from time to time; reminders would help a lot.
1/30/2025,S-37722,Greenwood High School,academic quality,10,"Great content, challenging yet fair, final projects tied things together nicely."
3/12/2023,S-10428,Greenwood High School,academic quality,7,"Overall solid. Some courses felt dated, but the core material was good and the teachers competent."
5/22/2023,S-40211,Riverside Academy,professor teachings,8,"The teachers know their stuff, but a few classes moved fast and left me behind."
1/15/2024,S-90321,Hillcrest School,sports facilities,6,"Facilities are okay, but the gym gets crowded at peak times and some equipment needs repair."
3/2/2024,S-21109,Maple Leaf School,extracurricular activities,9,"Love the range of clubs, especially robotics and debate. Keeps me into it after class."
7/19/2024,S-77041,Sunrise Institute,personal motivation,7,"Motivation comes from peers and mentors here, but there could be more structured goal-setting support."
11/3/2023,S-55872,Lakeside College,school climate,5,"Some days the vibe feels tense, other times it's friendly; it shifts with the class and who’s around."
2/28/2025,S-31655,Pine Valley School,communication with school,8,"Usually emails get a reply, but occasionally messages slip through and take a bit to chase up."
4/9/2023,S-68912,Cedar Grove School,academic quality,6,"The curriculum is fine, but certain topics felt rushed and left me with questions."
9/10/2024,S-13477,Silver Oak School,professor teachings,9,Professors explain tough ideas well and give useful feedback on assignments.
8/21/2023,S-21098,Blue Horizon School,sports facilities,4,The gym could use updates; weights are in short supply and it’s not ideal after practice.
12/5/2024,S-55220,Greenwood High School,extracurricular activities,7,"There are classes I enjoy, though clubs sometimes collide with study time."
9/14/2023,S-44321,Riverside Academy,personal motivation,6,"I stay motivated when mentors push us, but some days it’s hard to stay on track."
4/27/2024,S-22277,Hillcrest School,school climate,8,"Overall, the vibe is welcoming with supportive peers and staff."
12/31/2023,S-99764,Maple Leaf School,communication with school,9," Messages move fast, and the admin team is responsive when I raise a concern."
3/11/2025,S-33334,Sunrise Institute,academic quality,5,"Some courses lack practical examples, making it hard to connect to real-world use."
6/7/2023,S-77881,Lakeside College,professor teachings,7,"Explanations are clear most times, but a few talks feel dry and long."
2/20/2024,S-45450,Pine Valley School,sports facilities,8,"Facilities are getting better, the new turf is nice, just a few fixes left."
8/18/2024,S-29641,Cedar Grove School,extracurricular activities,6," There are plenty of clubs, yet more leadership training would be great."
5/5/2024,S-11890,Silver Oak School,personal motivation,8,"People here inspire me to push harder, though I still doubt my progress sometimes."
3/15/2023,S-10234,Greenwood High School,academic quality,9,The curriculum is solid and exams reflect learning fairly; some topics could use real-world examples.
4/2/2023,S-20487,Riverside Academy,professor teachings,8,"Professors explain well most of the time, though some lectures were rushed and skipped key demos."
5/20/2023,S-30876,Hillcrest School,sports facilities,7,Facilities are decent but gym gear is sometimes scarce during busy times.
6/11/2023,S-41222,Maple Leaf School,extracurricular activities,8,"There are lots of clubs, but evenings get crowded; scheduling could improve."
7/3/2023,S-52109,Sunrise Institute,personal motivation,6,"Motivation's fluctuating lately, but counselors are supportive when you chat with them."
8/19/2023,S-63479,Lakeside College,school climate,7,"The vibe is generally positive, though some hallways feel chaotic during breaks."
9/10/2023,S-74561,Pine Valley School,communication with school,8,"Emails get replies, but sometimes it takes ages and questions slip through the cracks."
10/27/2023,S-85230,Cedar Grove School,academic quality,9,The teaching quality is solid; more practice questions for tests would help a lot.
11/14/2023,S-96312,Silver Oak School,professor teachings,7,"Some professors keep students engaged, others just lecture and bore us."
12/5/2023,S-17458,Blue Horizon School,sports facilities,6,"The gym is decent, but the track gets slick when wet and towels run out."
1/22/2024,S-27541,Greenwood High School,extracurricular activities,9,"Love the clubs, and admins back student-led projects."
2/16/2024,S-38672,Riverside Academy,personal motivation,7,"Feeling a bit burned out, though teachers push you to keep going."
3/9/2024,S-49813,Hillcrest School,school climate,8,"Friends and staff are friendly, but cafeteria chatter can be loud."
4/28/2024,S-61124,Maple Leaf School,communication with school,9,Messages reach the right people quickly; really helps when coordinating projects.
5/17/2024,S-72255,Sunrise Institute,academic quality,8,"Overall strong academics; a few courses feel dated, though the new app helps."
6/3/2024,S-83369,Lakeside College,professor teachings,9,"Engaging lectures, hands-on demos, and quick feedback—awesome."
7/21/2024,S-94470,Pine Valley School,sports facilities,8,"Campus spaces are nice, could use longer gym hours on weekends."
8/12/2024,S-10534,Cedar Grove School,extracurricular activities,7,"Clubs are varied, but robotics could use more mentors."
9/7/2024,S-21687,Silver Oak School,personal motivation,6,"Motivation drops midterm, but study groups help a bit more."
10/29/2024,S-32748,Blue Horizon School,communication with school,8,Front desk is friendly; responses from emails vary by staff.
1/13/2025,S-43829,Greenwood High School,academic quality,10,The courses challenge me in a good way; assignments stay fair and clear.
4/12/2023,S-10421,Greenwood High School,academic quality,8,"Coursework is solid, though lectures can feel rushed at times."
5/9/2023,S-20487,Riverside Academy,professor teachings,9,"Prof is clear most days, but slows down when demos pile up."
2/18/2024,S-30876,Hillcrest School,sports facilities,7,Facilities are okay; the gym's decent but the track needs upkeep.
11/3/2023,S-41209,Maple Leaf School,extracurricular activities,6,"There are clubs, yet the vibe feels a lil disconnected from academics."
7/22/2024,S-52109,Sunrise Institute,personal motivation,8,I feel more driven when teachers push us with real-world problems.
9/14/2023,S-63074,Lakeside College,school climate,7,"School climate is supportive, though some hallways get noisy."
1/11/2025,S-74215,Pine Valley School,communication with school,9,Emails come through quickly and messages are clear; weekly updates are appreciated.
3/28/2024,S-85342,Cedar Grove School,academic quality,5,"Chapters feel repetitive, would love more real world examples in softer words."
8/2/2023,S-96418,Silver Oak School,professor teachings,6,"The professor explains well at times, but student questions tend to stall the flow."
12/19/2023,S-10741,Blue Horizon School,sports facilities,8,"Court surfaces are good, though the gym equipment could use an update."
6/5/2024,S-21097,Greenwood High School,extracurricular activities,7,"There are clubs I enjoy, but the schedule clashes with study time."
10/28/2023,S-31284,Riverside Academy,personal motivation,7,"I got inspired by a project, but momentum faded after midterms."
3/16/2025,S-41970,Hillcrest School,school climate,8,Peers are supportive and staff are approachable; a few stress pockets still pop up.
9/1/2024,S-52631,Maple Leaf School,communication with school,6,"Admin messages arrive late sometimes, deadlines get confusing."
6/13/2023,S-63782,Sunrise Institute,academic quality,9,"Curriculum is strong and really makes me think critically, love it."
12/2/2024,S-74832,Lakeside College,professor teachings,5,"Some lectures feel meh, and slides haven’t been updated in a while."
4/29/2023,S-85623,Pine Valley School,sports facilities,6,"Facilities are decent, but the gym is crowded after school hours."
2/22/2024,S-96402,Cedar Grove School,extracurricular activities,8,"Joined robotics, teachers back new ideas and help out."
7/7/2023,S-10845,Silver Oak School,personal motivation,7,"Motivation comes and goes, some days I’m driven, other days I need a push."
5/18/2025,S-21987,Blue Horizon School,communication with school,10,They’re quick to respond and actually act on feedback.
3/12/2023,S-00421,Greenwood High School,academic quality,8,Sometimes classes feel a bit rushed but the main content is solid; explanations help me grasp concepts.
4/7/2023,S-10456,Riverside Academy,professor teachings,9,"Teachers use real examples and keep me curious, though a busy schedule makes office hours tricky."
6/22/2023,S-20311,Hillcrest School,sports facilities,7,"Gym has solid gear, though locker rooms could use a refresh."
9/14/2023,S-30577,Maple Leaf School,extracurricular activities,6,"So many clubs, but homework conflicts pop up; still grateful for options."
1/9/2024,S-45029,Sunrise Institute,personal motivation,8,"Inspired by peers and mentors, helps me push through tough weeks."
2/18/2024,S-51281,Lakeside College,school climate,7,"The overall vibe is positive, though a few teachers seem stressed."
4/30/2024,S-59642,Pine Valley School,communication with school,5,Emails take a while to get replies and simple updates slip through.
5/12/2024,S-70119,Cedar Grove School,academic quality,9,"The coursework is thorough and the resources are solid, exams line up well with what we learn."
8/21/2024,S-81232,Silver Oak School,professor teachings,10,"Teachers really know their stuff and push me to think harder, with feedback that helps me grow."
11/3/2024,S-92150,Blue Horizon School,sports facilities,6,"The sports gear is decent, but fields get muddy after rain."
1/16/2025,S-10366,Greenwood High School,extracurricular activities,7,"there's a club for almost everything, which is awesome, even if some meetups are crowded."
2/28/2025,S-11477,Riverside Academy,personal motivation,6,"I push myself a lot, but more mentor feedback would help me improve."
3/19/2025,S-12588,Hillcrest School,school climate,8,"Nice, friendly vibe most days, though the cafeteria can be noisy."
4/7/2025,S-13444,Maple Leaf School,communication with school,4,Info on deadlines isn't always clear; some reminders would help.
4/26/2025,S-14555,Sunrise Institute,academic quality,7,"Curriculum is solid, but a few topics feel a bit repetitive across the year."
5/30/2025,S-15666,Lakeside College,professor teachings,9,"Lectures are engaging and clear, and the pacing fits my learning style."
6/2/2025,S-16777,Pine Valley School,sports facilities,5,"Fields are okay, though maintenance could be better and some equipment shows wear."
12/11/2023,S-17888,Cedar Grove School,extracurricular activities,8,Lots of variety here; I joined a coding club that fits my schedule nicely.
10/5/2023,S-18999,Silver Oak School,personal motivation,7,"I feel supported by teachers, which helps me stay on track with projects."
11/14/2023,S-20010,Blue Horizon School,communication with school,6,"Sometimes messages get buried in the system, but I appreciate the efforts when they reach me."
2/14/2023,S-10001,Greenwood High School,academic quality,8,"The courses feel current and clear, but exams sometimes lack practical context."
3/22/2023,S-10002,Riverside Academy,professor teachings,9,"Professors explain stuff well most days, but some lectures drag on and lose focus mid-way."
4/5/2023,S-10003,Hillcrest School,sports facilities,6,"Facilities are decent, yet the gym gets crowded after lunch and lines form for equipment."
5/19/2023,S-10004,Maple Leaf School,extracurricular activities,7,"There are options, but I wish more clubs matched my interests like robotics or debate."
6/11/2023,S-10005,Sunrise Institute,personal motivation,5,"Some days I don’t feel very challenged, a bit more encouragement could help."
7/1/2023,S-10006,Lakeside College,school climate,7,"Overall vibe is good, but rumors and classroom stress spike during finals, making it tough."
8/14/2023,S-10007,Pine Valley School,communication with school,8,"Info from admin comes in a timely way, but event updates often arrive late."
9/25/2023,S-10008,Cedar Grove School,academic quality,9,"The syllabus is solid, assignments are fair, and I feel supported by tutors."
10/7/2023,S-10009,Silver Oak School,professor teachings,6,"Some professors are engaging, while others rush through slides without clarifying key ideas."
11/16/2023,S-10010,Blue Horizon School,sports facilities,8,"The gym and track are solid, but the pool water could be cleaner and lanes clearer."
1/12/2024,S-10011,Greenwood High School,extracurricular activities,8,"I joined a few clubs; leadership roles are there, but scheduling clashes with study time."
2/20/2024,S-10012,Riverside Academy,personal motivation,7,"Motivation from teachers is there, yet I still struggle balancing deadlines and hobbies."
3/30/2024,S-10013,Hillcrest School,school climate,6,Halls feel cramped during passing periods; a few people make unnecessary noise.
4/17/2024,S-10014,Maple Leaf School,communication with school,9,"Counselor emails are frequent and helpful, though responses sometimes take longer than I’d like."
5/9/2024,S-10015,Sunrise Institute,academic quality,7,"Class materials are solid, but group projects can be uneven in effort."
6/28/2024,S-10016,Lakeside College,professor teachings,8,Most lectures are clear; a couple of professors could share more real-world examples.
7/15/2024,S-10017,Pine Valley School,sports facilities,5,Facilities are okay but maintenance is spotty; some equipment is out of order for too long.
8/23/2024,S-10018,Cedar Grove School,extracurricular activities,8,"There are clubs I enjoy, but funding and space are sometimes tight."
9/11/2024,S-10019,Silver Oak School,personal motivation,6,I felt a bit lost mid-semester; having clearer goals would help me stay on track.
10/2/2024,S-10020,Blue Horizon School,school climate,9,The environment feels welcoming and supportive; teachers check in and really listen to concerns.
3/15/2023,S-12897,Greenwood High School,academic quality,9,"The courses are solid and the assignments actually show understanding, not just busywork."
4/22/2023,S-28461,Riverside Academy,professor teachings,8,"Professors usually know their stuff, but some explanations still go over my head at times."
5/10/2023,S-77123,Hillcrest School,sports facilities,7,"Facilities are decent, but gym towels are often missing, which is frustrating."
6/18/2023,S-45562,Maple Leaf School,extracurricular activities,6,"There are clubs, but they clash with my classes, so I can't join as many as I’d like."
7/2/2023,S-90211,Sunrise Institute,personal motivation,7,"Motivation depends a lot on me, not the school, but the resources help when I push myself."
8/29/2023,S-34109,Lakeside College,school climate,8,"The vibe is friendly most days, though lunch crowds can get loud."
9/14/2023,S-60413,Pine Valley School,communication with school,9,"Emails are answered fairly quickly, and counselors listen when I explain issues."
10/1/2023,S-81723,Cedar Grove School,academic quality,5,Some topics feel underexplained and the grading can seem inconsistent at times.
11/19/2023,S-51327,Silver Oak School,professor teachings,4,"Lectures are fine, but the pace feels rushed for me and I miss some context."
12/7/2023,S-19984,Blue Horizon School,sports facilities,10,"The gym and track are excellent, coaches push us to improve without being pushy."
1/18/2024,S-74019,Greenwood High School,extracurricular activities,7,"There’s a wide range of clubs, but finding time to fit stuff in is tough."
2/25/2024,S-68244,Riverside Academy,personal motivation,6,"Motivation is personal; the school offers spaces, but discipline is on me."
3/9/2024,S-90431,Hillcrest School,school climate,7,"Overall a welcoming place, though the hallways feel busy during changeovers."
4/17/2024,S-22188,Maple Leaf School,communication with school,8,Feedback loops mostly work; sometimes decisions take too long.
5/3/2024,S-17839,Sunrise Institute,academic quality,6,"The coursework is solid, but a few instructions could be clearer."
6/21/2024,S-55912,Lakeside College,professor teachings,9,"Professors explain ideas well and invite discussion, which helps me learn."
7/14/2024,S-31147,Pine Valley School,sports facilities,5,"Facilities are decent but the equipment is a bit dated, which slows practice."
8/5/2024,S-77776,Cedar Grove School,extracurricular activities,8,"There are some cool clubs, just wish there were more leadership roles."
9/11/2024,S-29038,Silver Oak School,personal motivation,7,"I feel supported by teachers, which helps me push through days I want to quit."
10/29/2024,S-65012,Blue Horizon School,communication with school,9,"Staff are respectful and keep me in the loop, which eases my worries about grades."
11/16/2024,S-82104,Greenwood High School,academic quality,4,Grades dropped this term; the material felt rushed and not well organized.
2/8/2025,S-46351,Riverside Academy,professor teachings,10,"Lectures were engaging, the examples clicked, and the exams reflected what we learned."
3/12/2023,S-00001,Greenwood High School,academic quality,8,"Overall the coursework is solid, but some topics felt rushed."
4/2/2023,S-00002,Riverside Academy,professor teachings,9,Professors explain concepts clearly; a few slides could use more examples.
5/15/2023,S-00003,Hillcrest School,sports facilities,6,"Facilities are decent but the gym equipment is a bit worn, need updates."
9/23/2023,S-00004,Maple Leaf School,extracurricular activities,7,"There are clubs I like, but the scheduling clashes with classes sometimes."
11/30/2023,S-00005,Sunrise Institute,personal motivation,8,"Inspires me to push further, though some days motivation dips after late labs."
2/18/2024,S-00006,Lakeside College,school climate,7,The vibe is generally positive; a few corridors feel tense during exams.
4/7/2024,S-00007,Pine Valley School,communication with school,6,Messages sometimes take long to reply; app notifications help but aren’t perfect.
6/21/2024,S-00008,Cedar Grove School,academic quality,9,"Challenging material, but the grading is fair and feedback helps me improve."
8/14/2024,S-00009,Silver Oak School,professor teachings,7,"Overall the teaching is solid, though a few professors could bring in more real-world cases."
10/1/2024,S-00010,Blue Horizon School,sports facilities,5,Facilities aren’t great for some sports; the track has rough spots in places.
12/11/2023,S-00011,Greenwood High School,extracurricular activities,8,"There’s a club for almost everything, but transportation after meetings is an issue."
1/28/2024,S-00012,Riverside Academy,personal motivation,6,Some days the goals feel far away; onboarding sessions helped a bit though.
3/9/2024,S-00013,Hillcrest School,school climate,8,"Peer support is strong, but a few staff feel a bit distant."
5/22/2024,S-00014,Maple Leaf School,communication with school,7,"Emails are quicker to get replies, still waiting on a couple policy fixes."
7/16/2024,S-00015,Sunrise Institute,academic quality,7,Courses are tough but fair; some readings feel overly dense.
9/3/2024,S-00016,Lakeside College,professor teachings,8,"Lectures are engaging, room for more interactive labs though."
